R	10B1_3A1	10B1_3B1	10B2_3A1	10B2_3B2	10A2_3B1	10A2_3B2
2.84e-08	2206567788607586.8	2191842861320428.5	2206567375192178.5	2191842861320428.5	2094379362678571.5	2094379776093979.5
2.8700000000000002e-08	2209102491962512.0	2195931625995517.5	2209102491962512.0	2195932039410928.2	2100613798576317.0	2100614211991727.8
2.89e-08	2210709058113414.5	2198469636711395.2	2210709058113414.5	2198469636711395.2	2104440865740172.0	2104440865740172.0
2.92e-08	2212982890844433.5	2201998211676746.0	2212982477429025.5	2201998211676746.0	2109716157675385.0	2109716571090793.0
2.96e-08	2215752005671937.2	2206198600848235.2	2215751592256526.5	2206198187432824.5	2115946872740258.8	2115946872740258.8
2.99e-08	2217606212908751.2	2208972676773675.0	2217606212908751.2	2208973090189085.8	2120060029433118.2	2120060442848529.2
3.02e-08	2219269418176344.5	2211437924870491.0	2219269418176344.5	2211437924870491.0	2123738677337960.0	2123738677337960.0
3.06e-08	2221183571909643.8	2214258304282499.0	2221183571909643.8	2214258304282499.0	2128029192971291.5	2128029192971291.5
3.09e-08	2222387876409122.5	2216038095182105.0	2222387876409122.5	2216038095182105.0	2130833035427848.8	2130833035427848.8
3.13e-08	2223690575848174.5	2217982015446519.0	2223690575848174.5	2217981602031108.2	2134085856494317.2	2134085443078906.5
3.17e-08	2224649719829544.0	2219457939596600.0	2224650133263789.2	2219457939596597.2	2136878536508770.5	2136878123074522.5
3.2200000000000004e-08	2225368664390743.5	2220679194485780.0	2225369077824988.5	2220679194485777.5	2139794416914812.8	2139794003480564.8
3.26e-08	2225596461103743.0	2221212925044187.5	2225596874519153.8	2221253440602000.8	2141791668878456.2	2141831771020858.8
3.31e-08	2225467472764562.0	2221401446426766.2	2225467886198809.8	2221401033011358.0	2144036148493768.5	2144035321644112.5
3.3599999999999996e-08	2224902321975725.2	2221027711022561.2	2224902735391133.2	2221027297588313.2	2146048697166635.5	2146047870316979.8
3.42e-08	2223720342398129.0	2219977613748524.8	2223721169228947.8	2219977200295439.5	2148392812005422.2	2148391571721518.5
3.48e-08	2222064578739768.0	2218330945417548.0	2222064578739768.0	2218331772267203.8	2150780336347564.0	2150781163197220.0
3.54e-08	2220021436686124.8	2216274987203648.8	2220022263535780.8	2216275400637896.8	2153401445331460.0	2153401031916052.0
3.61e-08	2217270099079143.8	2213449233259457.0	2217270099079143.8	2213449646693702.2	2156752247903256.8	2156752661337502.0
