R	10B1_1A1	10B1_1B1	10B2_1A1	10B2_1B2	1A2_10B1	1A2_10B2	2A2_10B1	2A2_10B2	10A2_1B1	10A2_1B2	10A2_1A2	10A2_2A2
3.2200000000000004e-08	2618169959651157.5	2609301598628094.5	2618170373085403.0	2609302838911998.5	2618169959651157.5	2618170373085403.0	2605702741554978.5	2605703154989223.5	2528416821057127.0	2528417647906786.0	2537285182080190.5	2524817963984011.0
3.26e-08	2618897586143167.5	2610016822375259.0	2618897999558578.0	2610018062640326.0	2618897586143167.5	2618897999558578.0	2606411763957975.0	2606412177373385.5	2530595566209528.0	2530596393059184.0	2539476329977436.0	2526990507792243.5
3.31e-08	2619233699935103.5	2610403787355131.0	2619234113369351.0	2610405027639035.0	2619233699935103.5	2619234113369351.0	2606823947805270.5	2606824361239518.5	2533038489422133.0	2533039316271789.0	2541868402002105.5	2529458649872273.0
3.3599999999999996e-08	2618993087118362.0	2610274385600542.0	2618993500533770.0	2610276039299851.0	2618993087118362.0	2618993500533770.0	2606749118033814.5	2606749531449223.0	2535295371744616.0	2535296612028517.5	2544014073262436.5	2531770104177889.0
3.42e-08	2618038904216091.0	2609514925481529.0	2618039731046910.0	2609516579162004.0	2618038904216091.0	2618039731046910.0	2606083918624927.0	2606084745455746.0	2537930123738427.0	2537930950588083.0	2546454102472988.5	2534499116881825.0
3.48e-08	2616467479090818.0	2608188660874362.5	2616467479090818.0	2608189901139429.0	2616467479090818.0	2616467479090818.0	2604875479877166.0	2604875479877166.0	2540638051804378.5	2540639292069445.5	2548916870020834.0	2537324870807182.0
3.54e-08	2614399531585158.5	2606403495461409.5	2614400358434814.5	2606397707532652.0	2614399531585158.5	2614400358434814.5	2603218475953738.5	2603219302803394.0	2543529953589221.0	2543523338810807.5	2551525989712970.0	2540344934081549.5
3.61e-08	2611502668702380.5	2603860937044170.0	2611502668702380.5	2603860937044170.0	2611502668702380.5	2611502668702380.5	2600846248283149.0	2600846248283149.0	2547163951687969.5	2547163951687969.5	2554805683346180.0	2544149262926948.5
3.6800000000000005e-08	2608245299972221.0	2600983918534303.0	2608245299972221.0	2600983918534303.0	2608245299972221.0	2608245299972221.0	2598144108164789.0	2598144108164789.0	2551053032519536.0	2551053032519536.0	2558314413957453.5	2548213222150021.5
3.76e-08	2604334307690686.5	2597517770614403.0	2604334307690686.5	2597517770614403.0	2604334307690686.5	2604334307690686.5	2594879297806557.5	2594879297806557.5	2555686276742059.5	2555686276742059.5	2562502813818343.0	2553047803934214.0
3.85e-08	2599911909753795.0	2593596856155831.0	2599911909753795.0	2593596856155831.0	2599911909753795.0	2599911909753795.0	2591179978679145.5	2591179978679145.5	2560947512233112.5	2560947512233112.5	2567262565831077.0	2558530634756427.0
3.95e-08	2595378300735909.0	2589605659589493.5	2595377887320501.0	2589605246174085.5	2595378300735909.0	2595377887320501.0	2587423193604221.0	2587422780188813.0	2566620104740648.0	2566620104740648.0	2572392745887063.5	2564437638755375.5
4.05e-08	2591090679048119.0	2585834404655001.5	2591090679048119.0	2585834404655001.5	2591090679048119.0	2591090679048119.0	2583869813186854.5	2583869813186854.5	2571921855808352.0	2571921855808352.0	2577178130201469.0	2569957264340204.5
4.17e-08	2587908966957911.5	2583227765511833.5	2587916408585980.5	2583235207139903.0	2587908966957911.5	2587916408585980.5	2581500479499478.0	2581507921127547.5	2577642405501767.5	2577642405501767.5	2582323606947845.0	2575915119489411.5
4.3099999999999996e-08	2585421393958047.0	2581339657514456.5	2585421393958047.0	2581339657514456.5	2585421393958047.0	2585421393958047.0	2579853397753090.5	2579853397753090.5	2583337736346596.0	2583337736346596.0	2587419472790186.5	2581851476585229.5
4.46e-08	2584240241211272.5	2580711666245921.5	2584240241211272.5	2580711666245921.5	2584240241211272.5	2584240241211272.5	2579442040736611.0	2579442040736611.0	2588268645936799.0	2588268645936799.0	2591797220902150.0	2586999020427488.5
4.64e-08	2584020299579427.5	2581053154588878.5	2584020299579427.5	2581053154588878.5	2584020299579427.5	2584020299579427.5	2579998509632317.0	2579998509632317.0	2592681121696650.5	2592681121696650.5	2595648266687199.5	2591626476740089.0
4.85e-08	2584532118631363.0	2582027595260637.5	2584532118631363.0	2582028008676048.5	2584532118631363.0	2584532118631363.0	2581146588430513.0	2581146588430513.0	2596043913579044.5	2596044326994455.0	2598548436949770.0	2595162906748920.0
5.11e-08	2585324652698954.0	2583241408502908.5	2585324652698954.0	2583241821937156.0	2585324652698954.0	2585324652698954.0	2582515435729050.5	2582515435729050.5	2598046126640626.5	2598046540074874.5	2600129370836672.5	2597320153866768.5
5.4299999999999997e-08	2585987785011953.5	2584232386148955.0	2585987785011953.5	2584232799583203.0	2585987785011953.5	2585987785011953.5	2583625066102990.5	2583625066102990.5	2598057289101567.5	2598057702535815.5	2599812687964566.0	2597449969055603.0
5.8499999999999994e-08	2586192016538004.0	2584697488317746.5	2586192016538004.0	2584697488317746.5	2586192016538004.0	2586192016538004.0	2584182775263760.5	2584182775263760.5	2595682580900844.5	2595682580900844.5	2597177109121102.0	2595167867846858.5
6.440000000000001e-08	2585816214000236.0	2584467624490024.0	2585816214000236.0	2584467624490024.0	2585816214000236.0	2585816214000236.0	2584005002889038.0	2584005002889038.0	2591170469936353.0	2591170469936353.0	2592519059446565.5	2590707848335367.0
7.37e-08	2584867405611314.5	2583580829712305.0	2584867405611314.5	2583580829712305.0	2584867405611314.5	2584867405611314.5	2583140119598956.0	2583140119598956.0	2586256097282766.5	2586256097282766.5	2587542673181775.5	2585815387169417.5
9.28e-08	2583666821944707.5	2582388101108015.5	2583666821944707.5	2582388101108015.5	2583666821944707.5	2583666821944707.5	2581949871524800.0	2581949871524800.0	2584326233424835.0	2584326233424835.0	2585604954261527.0	2583888003841619.5
1e-06	2583457987631655.0	2583457987631655.0	2583457987631655.0	2583457987631655.0	2583457987631655.0	2583457987631655.0	2583457987631655.0	2583457987631655.0	2583457987631655.0	2583457987631655.0	2583457987631655.0	2583457987631655.0
