R	10B1_2A1	10B1_2B1	10B2_2A1	10B2_2B2	10A2_2B1	10A2_2B2
Intensities	0.0006537430785600001	0.0017488312701409	0.0006542509655889	0.0017485101147361002	0.005044486702702501	0.0050425436581569005
2e-08	2630441214717851.5	2228929899870427.5	2630440801283606.5	2228929899851593.2	2106113993203642.2	2106114406619053.0
2.0099999999999998e-08	2612591627853750.0	2233645828926721.5	2612590801004094.0	2233645415511313.5	2107742470861016.5	2107742884295264.2
2.0200000000000002e-08	2595662736546767.5	2238344394177908.8	2595662323112519.5	2238344807593316.8	2109418492288865.5	2109419319138521.2
2.03e-08	2579627254739402.5	2243025182189738.5	2579626427889747.0	2243024768755490.5	2111142057487186.2	2111142470902594.2
2.04e-08	2564457069675205.0	2247684472148176.2	2564456242844386.0	2247684472167013.5	2112913579909064.2	2112914406758720.2
2.0499999999999998e-08	2550126962467907.5	2252321437203569.0	2550126135618251.5	2252321437203569.0	2114734713178462.8	2114735540028118.8
2.0600000000000002e-08	2536611714174740.0	2256934010222353.5	2536610887343921.5	2256934010241193.5	2116608351353946.0	2116609178203604.8
2.07e-08	2523886932834444.0	2261520537542895.5	2523886106003622.5	2261520537561730.0	2118536974927976.0	2118537801777632.0
2.08e-08	2511930706978213.5	2266080192296699.0	2511929466694309.5	2266079778862451.0	2120521410750203.5	2120522237599859.2
2.09e-08	2500712443168769.0	2270611320765611.5	2500711616319113.0	2270611320765611.5	2122565379653500.0	2122566206503156.0
2.1000000000000003e-08	2490218911886956.0	2275108548473961.5	2490217671603052.0	2275108135039713.5	2124665987673489.8	2124666814523145.5
2.11e-08	2480425307624246.0	2279572288818322.0	2480424480774590.0	2279572288818322.0	2126819513977300.8	2126820340826956.8
2.12e-08	2471309305552943.5	2284001714967880.0	2471308478703287.5	2284001714967880.0	2129019343767685.2	2129020170617341.2
2.13e-08	2462850234393963.0	2288394759770228.0	2462848994110059.0	2288394346335980.0	2131272091841885.8	2131272918691541.8
2.1400000000000003e-08	2454956314023819.0	2292749769582570.0	2454955073758752.0	2292749356148322.0	2133562461566032.2	2133563288396851.2
2.15e-08	2447749918003282.0	2297067157782640.0	2447746610604658.5	2297065090649083.0	2135891693111003.2	2135892933376070.2
2.16e-08	2441134305054419.5	2301341549875929.0	2441133064770518.5	2301341136441684.0	2138257305984345.0	2138258132834001.0
2.17e-08	2435079295230708.5	2305562196816906.0	2435078054946804.5	2305561783382661.0	2141289358550475.2	2141290185400134.0
