R	3A2_12B1	3A2_12B2	12A2_3A2
Intensities	4.046233469313026	4.046239101585434	3.654745698242766
2e-08	2285727347280921.0	2285726106997020.0	2272154219624831.0
2.0099999999999998e-08	2290353563309617.5	2290352323025716.5	2276852371441770.5
2.0200000000000002e-08	2294959934965400.0	2294958694700333.0	2281530678923469.5
2.03e-08	2299543568321560.5	2299542328056493.5	2286185421218216.5
2.04e-08	2304101569376049.0	2304100329092147.5	2290814117795881.0
2.0499999999999998e-08	2308630217314831.0	2308628977030927.0	2295413047842428.5
2.0600000000000002e-08	2313126618135853.0	2313125377870786.5	2299979317355808.0
2.07e-08	2317587051100427.0	2317586224250771.0	2304509205559656.5
2.08e-08	2322011929567452.0	2322010689302388.0	2308999818470756.0
2.09e-08	2326397532779404.5	2326396292495500.5	2313449915824044.5
2.1000000000000003e-08	2330740553262312.0	2330739312978408.5	2317859084185274.5
2.11e-08	2335043471602814.5	2335042231337750.5	2322227323554443.5
2.12e-08	2339306287838591.5	2339305047573524.5	2326553807081898.0
2.13e-08	2343534376426472.5	2343533136142571.0	2330844736130640.0
2.1400000000000003e-08	2347723189721609.5	2347721949456545.5	2335095563055817.0
2.15e-08	2351876035122626.5	2351873141158247.5	2339309595237218.0
2.16e-08	2355989605212057.0	2355988364946990.0	2343485178956688.5
2.17e-08	2360452932141012.5	2360451278441697.5	2348015067160537.0
2.1800000000000003e-08	2364104294082539.0	2364102640383227.0	2351717693686573.0
2.19e-08	2368102932258108.5	2368101278558796.5	2355774211243902.5
2.2000000000000002e-08	2372061881744360.5	2372060641479296.5	2359790213262255.5
2.21e-08	2375980729088209.5	2375979075407735.0	2363765286288550.0
2.2200000000000004e-08	2379857820590341.5	2379856580306440.5	2367698190038882.0
2.23e-08	2383693983119252.0	2383692329419940.0	2371588924550926.0
2.2400000000000002e-08	2387487562937955.0	2387486322672888.5	2375436662937351.5
2.25e-08	2391239800349188.5	2391238146649874.0	2379242232066651.5
2.2599999999999997e-08	2394949041653638.0	2394947387954326.0	2383003978220677.0
2.27e-08	2398616113682128.0	2398614459982813.0	2386722728286758.5
2.29e-08	2405822509740336.0	2405820856041024.0	2394029586399260.0
2.2999999999999998e-08	2409362247147791.0	2409360593448479.0	2397618521276502.0
2.3100000000000002e-08	2412859401863875.5	2412858161598811.5	2401164046631551.5
2.32e-08	2416312320208112.0	2416313147057770.5	2404666989295230.5
2.33e-08	2419726376675015.5	2419727203524671.5	2408126935833294.0
2.3500000000000002e-08	2426429222121341.5	2426430048970997.5	2414919907722628.5
2.36e-08	2429721731895965.0	2429722145330213.0	2418255827038281.0
2.37e-08	2432973312697369.5	2432973726112780.5	2421549990531058.5
2.3799999999999998e-08	2436182310807401.0	2436182724222811.5	2424801157898212.5
2.4e-08	2442480827449911.5	2442481240865320.0	2431180292240939.5
2.41e-08	2445569519113895.5	2445569932548143.5	2434307845782259.0
2.4300000000000003e-08	2451632797434174.5	2451633210849582.5	2440445953873996.5
2.44e-08	2454606143787723.0	2454606970637382.0	2443455681537079.0
2.46e-08	2460438731430624.0	2460439144846032.0	2449357311022678.0
2.4700000000000003e-08	2463297559304562.5	2463297972719970.5	2452249212826357.5
2.49e-08	2468902763668706.0	2468903177102951.0	2457917671085608.0
2.5e-08	2471648726743503.0	2471649140158914.0	2460693814106933.0
2.52e-08	2477028201547047.0	2477028614981292.0	2466131168311071.0
2.5400000000000002e-08	2482258016807670.5	2482258016807670.5	2471415142120583.0
2.55e-08	2484814631631399.0	2484815045065647.0	2473995735546671.5
2.57e-08	2489819957577650.0	2489820371011897.5	2479050258962709.0
2.59e-08	2494674797150165.0	2494675210584412.5	2483950988606384.0
2.61e-08	2499379150348944.0	2499379150348944.0	2488697511062288.5
2.63e-08	2503931363455840.5	2503931776871248.5	2493289826311585.0
2.65e-08	2508331849905094.5	2508331849905094.5	2497726694089209.5
2.67e-08	2512578542581991.5	2512578542581991.5	2502007287545504.0
2.69e-08	2516671441486523.5	2516671441486523.5	2506131606680465.0
2.71e-08	2520608892900549.0	2520608892900549.0	2510098411210197.0
2.7400000000000004e-08	2526224432875980.5	2526224432875980.5	2515754053328034.0
2.76e-08	2529771198496094.0	2529771198496094.0	2519325210984755.5
2.7900000000000002e-08	2534796782230673.0	2534796782230673.0	2524384695498731.5
2.81e-08	2537950381507912.0	2537950381507912.0	2527559379395115.0
2.84e-08	2542386009020470.0	2542386009020470.0	2532024360023379.5
2.8700000000000002e-08	2546468985729130.0	2546468985729130.0	2536135449582682.0
2.89e-08	2548996660871394.0	2548996660871394.0	2538681315360874.5
2.92e-08	2552497949835761.5	2552497949835761.5	2542209890326225.0
2.96e-08	2556657823449437.0	2556657823449437.0	2546406558683679.5
2.99e-08	2559364097816076.5	2559364097816076.5	2549140945900962.0
3.02e-08	2561739632885295.5	2561739632885295.5	2551545834085887.5
3.06e-08	2564404564825631.5	2564404564825631.5	2554253762133004.5
3.09e-08	2566038830411763.0	2566038830411763.0	2555923582197848.5
3.13e-08	2567747925769353.5	2567747925769353.5	2557684355574193.0
