R	9A1_3A1	3B1_9A1	3B2_9A1
Intensities	0.15898788566912253	0.0321724023068889	0.032173363719422504
2e-08	1936292589689755.5	1777961896466737.2	1777962723316393.2
2.0099999999999998e-08	1936843684053275.0	1779269143569480.0	1779270383834546.8
2.0200000000000002e-08	1937405527443490.5	1780643365381363.8	1780644605646430.5
2.03e-08	1937977293010740.5	1782086215601701.0	1782087455866767.8
2.04e-08	1938557740489966.8	1783601001610280.8	1783602241875347.5
2.0499999999999998e-08	1939146043031507.2	1785190617409156.2	1785191857674223.2
2.0600000000000002e-08	1939743854334682.8	1786859610605509.5	1786860850889413.5
2.07e-08	1940352414645711.5	1788613355769193.0	1788614596034259.8
2.08e-08	1940975031400897.2	1790453506599524.2	1790454746864591.0
2.09e-08	1941615838810851.2	1792400734243727.8	1792401561093383.8
2.1000000000000003e-08	1942282278484805.5	1794452971624752.5	1794454211889819.2
2.11e-08	1942982618975828.8	1796624688583328.8	1796625928867232.8
2.12e-08	1943728849519177.5	1798930768394435.8	1798932008659502.5
2.13e-08	1944537507126814.0	1801388988278590.5	1801390228543657.2
2.1400000000000003e-08	1945417273691871.5	1804023740272401.2	1804024980537468.0
2.15e-08	1947597672562421.2	1808037675176031.5	1808038915441098.2
2.16e-08	1947549301923453.5	1809914207297056.2	1809915034146712.2
2.17e-08	1948859442990577.5	1813239791001426.2	1813241031266490.5
2.1800000000000003e-08	1950385804894346.5	1816870481720382.5	1816871721985449.2
2.19e-08	1952173864271675.2	1820849275560711.8	1820850515844613.0
2.2000000000000002e-08	1954267857475580.0	1825216274645979.5	1825217514929883.5
2.21e-08	1956703752456686.8	1830004552943598.5	1830005379793254.2
2.2200000000000004e-08	1959502633834142.5	1835228580275467.5	1835229820540534.2
2.23e-08	1962661607605894.0	1840880914975840.8	1840882155259741.8
2.2400000000000002e-08	1966151320712746.2	1846924762376284.8	1846926002641351.5
2.25e-08	1969914307169510.2	1853296455072102.5	1853297281921761.0
2.2599999999999997e-08	1973877804300618.2	1859915375419591.5	1859916615684655.5
2.27e-08	1977961607858928.8	1866693050618536.5	1866694290883603.2
2.29e-08	1986191642058685.5	1880396406878877.2	1880397647143944.0
2.2999999999999998e-08	1990218393084894.8	1887185657973011.2	1887186898238078.0
2.3100000000000002e-08	1994136826994498.8	1893874446975183.2	1893875687240250.0
2.32e-08	1997904361096116.2	1900411922753958.0	1900411095904302.0
2.33e-08	2001512726912027.2	1906782375184714.2	1906781548335058.2
2.3500000000000002e-08	2008228388499772.2	1918971358851880.2	1918970945436472.2
2.36e-08	2011336097705851.8	1924780381326663.5	1924779554477007.5
2.37e-08	2014285052041635.2	1930398401851065.8	1930397988435654.8
2.3799999999999998e-08	2017083519966008.5	1935827900955212.2	1935827074105556.2
2.4e-08	2022267858589720.5	1946147380714012.0	1946146553864356.0
2.41e-08	2024674400455120.5	1951051417737479.2	1951051004322068.5
2.4300000000000003e-08	2029172455013126.5	1960398937354653.5	1960398110504997.5
2.44e-08	2031282985191319.0	1964847794424038.2	1964847380989790.2
2.46e-08	2035273768323411.0	1973345314026109.2	1973344900591864.2
2.4700000000000003e-08	2037185028092329.0	1977379920114638.8	1977379506699230.5
2.49e-08	2040819439625322.8	1985168417332550.5	1985168003898302.5
2.5e-08	2042569050559563.5	1988906184903053.2	1988905771468805.5
2.52e-08	2045960368708008.0	1996062970038392.8	1996097284233203.5
2.5400000000000002e-08	2049237581792244.5	2002908033361889.8	2002942760990945.8
2.55e-08	2050842494262669.8	2006211705616296.8	2006211705616296.8
2.57e-08	2054002708318325.0	2012603242666194.5	2012603656081602.5
2.59e-08	2057110830939815.2	2018729361447329.5	2018729361447329.5
2.61e-08	2060183399082596.0	2024614453958640.8	2024614453958640.8
2.63e-08	2063231161773358.2	2030280845103168.0	2030280845103168.0
2.65e-08	2066261560659013.8	2035743831571306.5	2035743831571306.5
2.67e-08	2069281210517970.8	2041020777186994.2	2041021190602405.2
2.69e-08	2072269440127663.8	2046151370639554.5	2046151784073802.5
2.71e-08	2075275860410956.5	2051095509824258.8	2051095923239666.8
2.7400000000000004e-08	2079776808933344.0	2058234931154488.8	2058235344569899.5
2.76e-08	2082770413056380.8	2062821458456193.5	2062821458456193.5
2.7900000000000002e-08	2087247382995245.2	2069459809742346.5	2069460223176594.2
2.81e-08	2090220729329959.8	2073734201835638.0	2073734615251046.0
2.84e-08	2094656770276765.8	2079931842989607.8	2079932256405015.8
2.8700000000000002e-08	2099056843291774.8	2085885977324780.2	2085886390740191.0
2.89e-08	2101966522315974.5	2089727100913955.0	2089727100913955.0
2.92e-08	2106287631348916.5	2095302952181229.2	2095303365596637.2
2.96e-08	2111964771520142.8	2102411366696440.5	2102411366696440.5
2.99e-08	2116133740461199.8	2107500204326123.2	2107500617741534.0
3.02e-08	2120224158797926.2	2112392665492073.0	2112392665492073.0
3.06e-08	2125545340804302.0	2118620073177157.2	2118620073177157.2
3.09e-08	2129427806800946.2	2123078025573928.8	2123078025573928.8
3.13e-08	2134451736855047.8	2128743176453392.2	2128742763037981.5
3.17e-08	2139291279737173.2	2134099499504229.2	2134099086069981.2
3.2200000000000004e-08	2145067228263378.0	2140377758358414.8	2140377344924166.8
3.26e-08	2149464820748256.2	2145081284688700.8	2145121386831103.2
3.31e-08	2154678512487677.2	2150612486149881.5	2150611659300225.5
3.3599999999999996e-08	2159565599121443.2	2155690988168279.2	2155690161318623.2
3.42e-08	2165010808369061.5	2161268079719457.2	2161266839435553.2
3.48e-08	2170001251040333.8	2166267617718113.5	2166268444567769.5
3.54e-08	2174552223882163.8	2170805774399687.8	2170805360984279.5
3.61e-08	2179329339718841.5	2175508473899154.8	2175508887333400.0
3.6800000000000005e-08	2183564456519383.8	2179664626679955.8	2179665040114203.8
