R	4B1_2A1	4B1_2B1	4B2_2A1	4B2_2B2	4A2_2B1	4A2_2B2
Intensities	1.325743214929193	1.3684861086900721	1.3257470606388098	1.3684876762534883	1.2841495604824327	1.2841473167410173
2e-08	1694928553671060.2	1293417238823636.2	1694928553671060.2	1293417652239047.0	1290210307828325.0	1290210721243735.8
2.0099999999999998e-08	1697352459360404.2	1318406660433375.8	1697352459360404.2	1318407073867623.8	1315003352974334.0	1315003766408582.0
2.0200000000000002e-08	1699820188006191.0	1342501845637332.5	1699820188006191.0	1342502672486988.5	1338882730794725.5	1338883557644381.5
2.03e-08	1702328432190948.8	1365726359641284.5	1702328432190948.8	1365726773056692.5	1361871179626789.8	1361871593042197.8
2.04e-08	1704872644307506.0	1388100046780477.2	1704873057722914.0	1388101287045541.2	1383990197486241.5	1383991024335897.5
2.0499999999999998e-08	1707449930353801.8	1409644405089463.2	1707449930353801.8	1409645231939119.2	1405262936144627.8	1405263762994283.8
2.0600000000000002e-08	1710054915797655.0	1430377211845268.5	1710054915797655.0	1430378038694927.2	1425709653409105.2	1425710480258764.0
2.07e-08	1712680572445247.2	1450314177153698.8	1712680572445247.2	1450315004003354.8	1445348953331013.2	1445349780180669.2
2.08e-08	1715317391553777.8	1469466876872263.0	1715317391553777.8	1469467703721919.0	1464194478939103.0	1464195305788759.0
2.09e-08	1717944701900682.0	1487843579497524.2	1717944701900682.0	1487844406347180.2	1482256979222391.2	1482257806072047.2
2.1000000000000003e-08	1720552994761999.0	1505442631349004.8	1720552994761999.0	1505443458198660.5	1499537281068208.0	1499538107917864.0
2.11e-08	1723108369301823.2	1522255350495899.2	1723108369301823.2	1522256177345555.2	1516032077059092.2	1516032903908748.2
2.12e-08	1725571963718161.8	1538264373133098.8	1725571963718161.8	1538265199982754.8	1531731858433420.2	1531732685283076.2
2.13e-08	1727908223475794.2	1553452748852059.2	1727908223475794.2	1553453575701715.2	1546634144661053.0	1546634971510709.0
2.1400000000000003e-08	1729994775051626.8	1567788230610377.8	1729994775051626.8	1567789057441196.5	1560722398786539.8	1560723225617358.5
2.15e-08	1731932493971872.5	1581249733751230.5	1731927946308182.0	1581246426352606.5	1573994140242072.8	1573995380507139.5
2.16e-08	1733596526089124.5	1593803770910633.8	1733596526089124.5	1593804597760289.8	1586443581098900.0	1586444407948556.0
