 R = [9.28, 7.37, 6.44, 5.85, 5.43, 5.11, 4.85, 4.64, 4.46, 4.31, 4.17, 4.05, 3.95, 3.85, 3.76, 3.68, 3.61, 3.54, 3.48, 3.42]
 Eigenvalues of the spin-orbit matrix
 ....................................

   Nr  Sym         E             E-E0         E-E0           E-E(1)      E-E(1)      E-E(1)
  27   3   -529.55309060      0.00745790     1636.82      0.00946837     2078.07      0.2576
  28   3   -529.51268520      0.04786330    10504.78      0.04987377    10946.03      1.3571
  29   3   -529.50712552      0.05342298    11724.99      0.05543344    12166.23      1.5084
  30   3   -529.50707157      0.05347693    11736.83      0.05548739    12178.08      1.5099
  31   3   -529.50640764      0.05414086    11882.55      0.05615133    12323.79      1.5280
  32   3   -529.50445388      0.05609462    12311.35      0.05810508    12752.59      1.5811
  33   3   -529.50388251      0.05666599    12436.75      0.05867645    12877.99      1.5967
  34   3   -529.50003558      0.06051292    13281.05      0.06252339    13722.30      1.7013
  35   3   -529.49937930      0.06116920    13425.09      0.06317966    13866.33      1.7192
  36   3   -529.49851950      0.06202901    13613.79      0.06403947    14055.04      1.7426
 
  37   4   -529.56255896     -0.00201046     -441.25      0.00000000        0.00      0.0000
  38   4   -529.56251718     -0.00196867     -432.07      0.00004179        9.17      0.0011
  39   4   -529.55650644      0.00404206      887.13      0.00605253     1328.38      0.1647
  40   4   -529.51268490      0.04786360    10504.85      0.04987407    10946.09      1.3571
  41   4   -529.50712902      0.05341948    11724.22      0.05542994    12165.47      1.5083
  42   4   -529.50710610      0.05344240    11729.25      0.05545287    12170.50      1.5089
  43   4   -529.50636428      0.05418422    11892.06      0.05619468    12333.31      1.5291
  44   4   -529.50450513      0.05604337    12300.10      0.05805383    12741.34      1.5797
  45   4   -529.50383727      0.05671123    12446.68      0.05872170    12887.92      1.5979
  46   4   -529.49997087      0.06057763    13295.25      0.06258809    13736.50      1.7031
  47   4   -529.49942634      0.06112216    13414.76      0.06313262    13856.01      1.7179
  48   4   -529.49850747      0.06204103    13616.43      0.06405149    14057.68      1.7429

--
 Eigenvalues of the spin-orbit matrix
 ....................................

   Nr  Sym         E             E-E0         E-E0           E-E(1)      E-E(1)      E-E(1)
                 (au)            (au)        (cm-1)           (au)       (cm-1)        (eV)
   1   1   -529.56255516     -0.00201043     -441.24      0.00000000        0.00      0.0000
   2   1   -529.56005812      0.00048661      106.80      0.00249704      548.04      0.0679
   3   1   -529.55325237      0.00729236     1600.49      0.00930279     2041.73      0.2531
   4   1   -529.50708967      0.05345505    11732.03      0.05546549    12173.27      1.5093
   5   1   -529.50636101      0.05418372    11891.95      0.05619415    12333.19      1.5291
   6   1   -529.50632101      0.05422371    11900.73      0.05623415    12341.97      1.5302
   7   1   -529.50381535      0.05672937    12450.66      0.05873981    12891.90      1.5984
   8   1   -529.50370512      0.05683960    12474.85      0.05885004    12916.09      1.6014
   9   1   -529.49995527      0.06058945    13297.85      0.06259989    13739.09      1.7034
  10   1   -529.49944900      0.06109572    13408.96      0.06310615    13850.20      1.7172
  11   1   -529.49916536      0.06137936    13471.21      0.06338980    13912.45      1.7249
  12   1   -529.49182878      0.06871594    15081.41      0.07072638    15522.65      1.9246
 
  13   2   -529.56252254     -0.00197782     -434.08      0.00003262        7.16      0.0009
