R	1A1	2A1	3A1	4A1	5A1	6A1	7A1	8A1	9A1	10A1	11A1	12A1	1B1	2B1	3B1	4B1	5B1	6B1	7B1	8B1	9B1	10B1	11B1	12B1	1B2	2B2	3B2	4B2	5B2	6B2	7B2	8B2	9B2	10B2	11B2	12B2	1A2	2A2	3A2	4A2	5A2	6A2	7A2	8A2	9A2	10A2	11A2	12A2
2	99064.2821924	97254.8499424	100086.7640144	106274.2388731	109263.4789442	106276.9142688	107927.609298	110328.9295092	110365.9680478	111157.7161913	111746.5929605	112178.6594961	96175.2564321	99386.3546277	100927.2947839	106252.7237751	109132.7708283	106398.2727655	106879.2250801	110098.4811477	108647.7560382	111219.0834926	110627.1669997	112180.4240722	96175.2564321	99386.352433	100927.2903944	106252.7237751	109132.7708283	106398.268376	106879.2250801	110098.4811477	108647.7560382	111219.0812978	110627.1669997	112180.4174879	99064.2821924	96163.2994543	100046.1743764	106235.699128	106274.438595	106875.8385866	109274.0093369	110331.6180735	108650.8813569	110567.0902092	111157.7381388	112108.3683564
2.01	98881.0099027	97192.4730578	99910.392007	106226.1036972	109087.9672773	106230.2978574	107903.7436267	110156.2995443	110192.5216372	111000.8927892	111574.0442012	112024.9197126	96117.0473708	99204.1841006	100746.9085855	106203.2146881	108957.1340609	106348.5156721	106846.681382	109926.6983549	108489.8725736	111061.9484365	110453.7886263	112025.3367144	96117.0473708	99204.1819058	100746.9020013	106203.2146881	108957.1340609	106348.5090879	106846.681382	109926.6983549	108489.8725736	111061.944047	110453.7886263	112025.3301301	98881.0099027	96104.4144111	99866.5278075	106185.1475365	106226.3187823	106842.8866657	109098.4757226	110158.9815243	108492.749886	110393.5647878	111000.9147366	111953.6628844
2.02	98704.4710945	97131.8958651	99741.1046407	106180.1896046	108919.4370984	106185.9815401	107881.3023458	109990.7212992	110026.2169311	110850.7611685	111408.6042251	111878.0253427	96060.9013709	99028.7931448	100573.3085427	106155.7379361	108788.4678077	106300.7689663	106814.2145	109762.0067872	108341.1126694	110911.5007724	110287.4422199	111876.9740592	96060.9013709	99028.7887553	100573.3019585	106155.7379361	108788.4678077	106300.7623821	106814.2145	109762.0067872	108341.1126694	110911.4985776	110287.4422199	111876.967475	98704.4710945	96047.5638976	99693.7112891	106136.525127	106180.4222477	106809.9435237	108929.9192067	109993.3966949	108343.720028	110227.0713335	110850.783116	111805.6821152
2.03	98534.4243459	97073.0130167	99578.6692723	106136.3978317	108757.633817	106143.8643586	107860.1471862	109831.9423781	109866.8168968	110707.0623493	111250.0447786	111737.704238	96006.7240585	98859.9337539	100406.2488438	106110.1706134	108626.5174782	106254.9207161	106781.4337693	109604.1496596	108201.5421679	110767.4902991	110127.8819692	111735.0793214	96006.7240585	98859.9315592	100406.2422596	106110.1706134	108626.5174782	106254.9141319	106781.4337693	109604.1496596	108201.5421679	110767.4859096	110127.8819692	111735.0727372	98534.4243459	95992.65354	99527.483399	106089.7046042	106136.645838	106776.6075222	108768.0895883	109834.6089948	108203.8554305	110067.3618399	110707.0842967	111664.1648737
2.04	98370.6260401	97015.723554	99422.8664272	106094.6252254	108602.3072318	106103.8475493	107840.1332947	109679.7147747	109714.0954755	110569.5505198	111098.1507767	111603.6974184	95954.4276437	98697.3754797	100245.4858721	106066.3876195	108471.0372609	106210.8611842	106747.9177985	109452.8833551	108071.2576381	110629.6668157	109974.8774256	111599.3957157	95954.4276437	98697.3710902	100245.4792879	106066.3898142	108471.0372609	106210.8545999	106747.9177985	109452.8833551	108071.2576381	110629.6624263	109974.8774256	111599.3891314	98370.6260401	95939.5999377	99367.6027153	106044.5696465	106094.8929844	106742.4397118	108612.7366662	109682.3748072	108073.2636362	109914.2080537	110569.5724673	111528.8565696
2.05	98212.8501181	96959.924324	99273.4854098	106054.781801	108453.2246999	106065.8433224	107821.1267917	109533.7992617	109567.8375821	110437.9864529	110952.7181079	111475.7568776	95903.9287261	98540.8856791	100090.7891791	106024.270438	108321.7879282	106168.4894121	106713.2210543	109307.9752307	107950.3973488	110497.7932896	109828.2069199	111469.6774304	95903.9287261	98540.8812896	100090.7825949	106024.270438	108321.7879282	106168.4850226	106713.2210543	109307.9730359	107950.3973488	110497.7889001	109828.2069199	111469.6708461	98212.8501181	95888.3153009	99213.843179	106001.0105167	106055.0693128	106706.9748063	108463.6234079	109536.4549047	107952.0785245	109767.3861104	110438.0105951	111399.5113912
2.06	98060.8749105	96905.518758	99130.3177191	106016.7753794	108310.1513833	106029.7594985	107802.9806293	109393.9719749	109427.8434946	110312.1440895	110813.549245	111353.6433882	95855.1482948	98390.2448773	99941.9349009	105983.6939684	108178.5412267	106127.7132206	106676.906782	109169.1904484	107839.0973745	110371.6392722	109687.6663406	111345.6852381	95855.1482948	98390.2404878	99941.9283166	105983.6939684	108178.5412267	106127.7066364	106676.9045872	109169.1904484	107839.0973745	110371.6348828	109687.6663406	111345.6786539	98060.8749105	95838.718424	99065.9809261	105958.9152827	106017.0826439	106669.7562985	108320.5215596	109396.6210337	107840.4515329	109626.6918989	110312.166037	111275.8901111
2.07	97914.4831376	96852.4168713	98993.1680228	105980.5203652	108172.872197	105995.5148719	107785.5565385	109260.0046608	109293.9244648	110191.7951762	110680.4532451	111237.1243072	95808.0051442	98245.2423787	99798.7057573	105944.5309154	108041.0732922	106088.4338461	106638.5843168	109036.3161179	107737.478426	110250.9852891	109553.0559657	111227.1864959	95808.0051442	98245.2379892	99798.6991731	105944.5309154	108041.0732922	106088.4272618	106638.5843168	109036.3161179	107737.478426	110250.9808997	109553.0559657	111227.1821064	97914.4831376	95790.7368804	98923.803066	105918.1720123	105980.8495772	106630.3649919	108183.2094521	109262.6493301	107738.5033725	109491.9278918	110191.8193184	111157.7600862
2.08	97773.468493	96800.5264845	98861.8431832	105945.9333583	108041.169861	105963.0260425	107768.7074711	109131.6888183	109165.9049132	110076.7312119	110553.2523338	111125.9757703	95762.4334321	98105.674072	99660.9173898	105906.6386205	107909.1668448	106050.5678881	106597.9727313	108909.1305698	107645.5558667	110135.6228394	109424.1782683	111113.9748975	95762.4334321	98105.6696825	99660.9108056	105906.6386205	107909.1668448	106050.5613039	106597.9727313	108909.1305698	107645.5558667	110135.6162551	109424.1782683	111113.9683133	97773.468493	95744.3026329	98787.101098	105878.649021	105946.2867124	106588.4782588	108051.4698054	109134.3225139	107646.2625751	109362.8943673	110076.7531594	111044.8974525
2.09	97637.6334498	96749.7949238	98736.1610363	105912.9397372	107914.8622115	105932.2183887	107752.3258848	109008.8598417	109043.6246231	109966.7393064	110431.7994631	111019.9914715	95718.3475632	97971.333651	99528.2998447	105869.8546725	107782.6243574	106014.0209728	106554.9930145	108787.436277	107563.2814122	110025.3368378	109300.8444999	111005.8309684	95718.3475632	97971.3292615	99528.2954552	105869.8546725	107782.6243574	106014.0143885	106554.9908198	108787.436277	107563.2814122	110025.3324483	109300.8444999	111005.8243841	97637.6334498	95699.3278917	98655.6753	105840.1970658	105913.3172335	106543.9797776	107925.1028977	109011.4408633	107563.6852455	109239.404772	109966.7634486	110937.0959037
